Section,Township,Township Direction,Range,Range Direction,Baseline,Side,Length,Degrees,Minutes,Seconds,Alignment,North Reference,Concatenation,API
4,2,2,1,2,2,East-Up2,0,0,0,0,0,T,422122East-Up2,4.30135E+12
4,2,2,1,2,2,East-Up1,2669.84,0,9,26,3,T,422122East-Up1,4.30135E+12
4,2,2,1,2,2,East-Down1,1322.35,0,53,53,4,T,422122East-Down1,4.30135E+12
4,2,2,1,2,2,East-Down2,1322.05,0,52,48,4,T,422122East-Down2,4.30135E+12
4,2,2,1,2,2,North-Left2,1319.03,88,58,51,3,T,422122North-Left2,4.30135E+12
4,2,2,1,2,2,North-Left1,1317.06,89,3,46,3,T,422122North-Left1,4.30135E+12
4,2,2,1,2,2,North-Right1,1317.06,89,3,46,3,T,422122North-Right1,4.30135E+12
4,2,2,1,2,2,North-Right2,1317.06,89,3,46,3,T,422122North-Right2,4.30135E+12
4,2,2,1,2,2,South-Left2,0,0,0,0,0,T,422122South-Left2,4.30135E+12
4,2,2,1,2,2,South-Left1,2636.77,88,48,21,4,T,422122South-Left1,4.30135E+12
4,2,2,1,2,2,South-Right1,1329.3,88,35,58,3,T,422122South-Right1,4.30135E+12
4,2,2,1,2,2,South-Right2,1309.06,88,34,5,3,T,422122South-Right2,4.30135E+12
16,2,2,1,2,2,West-Up2,0,0,0,0,0,T,1622122West-Up2,4.30135E+13
16,2,2,1,2,2,West-Up1,2647.08,1,13,33,4,T,1622122West-Up1,4.30135E+13
16,2,2,1,2,2,West-Down1,1321.48,1,20,42,4,T,1622122West-Down1,4.30135E+13
16,2,2,1,2,2,West-Down2,1321.15,1,20,36,4,T,1622122West-Down2,4.30135E+13
16,2,2,1,2,2,East-Up2,0,0,0,0,0,T,1622122East-Up2,4.30135E+13
16,2,2,1,2,2,East-Up1,2639.99,1,13,44,4,T,1622122East-Up1,4.30135E+13
16,2,2,1,2,2,East-Down1,0,0,0,0,0,T,1622122East-Down1,4.30135E+13
16,2,2,1,2,2,East-Down2,2640.4,1,13,8,4,T,1622122East-Down2,4.30135E+13
16,2,2,1,2,2,North-Left2,1327.66,88,34,19,3,T,1622122North-Left2,4.30135E+13
16,2,2,1,2,2,North-Left1,1319.81,89,1,57,3,T,1622122North-Left1,4.30135E+13
16,2,2,1,2,2,North-Right1,1319.81,89,1,57,3,T,1622122North-Right1,4.30135E+13
16,2,2,1,2,2,North-Right2,1319.46,89,5,59,3,T,1622122North-Right2,4.30135E+13
16,2,2,1,2,2,South-Left2,0,0,0,0,0,T,1622122South-Left2,4.30135E+13
16,2,2,1,2,2,South-Left1,2640.26,88,51,0,3,T,1622122South-Left1,4.30135E+13
16,2,2,1,2,2,South-Right1,0,0,0,0,0,T,1622122South-Right1,4.30135E+13
16,2,2,1,2,2,South-Right2,2640.71,88,50,51,3,T,1622122South-Right2,4.30135E+13
10,8,2,20,1,1,West-Up2,0,0,0,0,0,T,10822011West-Up2,4.30476E+13
10,8,2,20,1,1,West-Up1,5288.3,0,24,37,4,T,10822011West-Up1,4.30476E+13
10,8,2,20,1,1,West-Down1,0,0,0,0,0,T,10822011West-Down1,4.30476E+13
10,8,2,20,1,1,West-Down2,0,0,0,0,0,T,10822011West-Down2,4.30476E+13
10,8,2,20,1,1,East-Up2,0,0,0,0,0,T,10822011East-Up2,4.30476E+13
10,8,2,20,1,1,East-Up1,2646.1,0,36,42,2,T,10822011East-Up1,4.30476E+13
10,8,2,20,1,1,East-Down1,2643.96,0,36,42,2,T,10822011East-Down1,4.30476E+13
10,8,2,20,1,1,East-Down2,0,0,0,0,0,T,10822011East-Down2,4.30476E+13
10,8,2,20,1,1,North-Left2,0,0,0,0,0,T,10822011North-Left2,4.30476E+13
10,8,2,20,1,1,North-Left1,5341.9,89,17,29,2,T,10822011North-Left1,4.30476E+13
10,8,2,20,1,1,North-Right1,0,0,0,0,0,T,10822011North-Right1,4.30476E+13
10,8,2,20,1,1,North-Right2,0,0,0,0,0,T,10822011North-Right2,4.30476E+13
10,8,2,20,1,1,South-Left2,0,0,0,0,0,T,10822011South-Left2,4.30476E+13
10,8,2,20,1,1,South-Left1,2658.48,89,12,15,2,T,10822011South-Left1,4.30476E+13
10,8,2,20,1,1,South-Right1,2658.48,89,12,15,2,T,10822011South-Right1,4.30476E+13
10,8,2,20,1,1,South-Right2,0,0,0,0,0,T,10822011South-Right2,4.30476E+13
36,7,2,20,1,1,West-Up2,1375.26,0,54,35,2,T,36722011West-Up2,4.30476E+13
36,7,2,20,1,1,West-Up1,1375.27,0,55,0,2,T,36722011West-Up1,4.30476E+13
36,7,2,20,1,1,West-Down1,1371.85,0,55,44,2,T,36722011West-Down1,4.30476E+13
36,7,2,20,1,1,West-Down2,1371.08,0,55,24,2,T,36722011West-Down2,4.30476E+13
36,7,2,20,1,1,East-Up2,1370.7,0,16,30,4,T,36722011East-Up2,4.30476E+13
36,7,2,20,1,1,East-Up1,1316.93,0,50,46,4,T,36722011East-Up1,4.30476E+13
36,7,2,20,1,1,East-Down1,1385.87,1,0,40,4,T,36722011East-Down1,4.30476E+13
36,7,2,20,1,1,East-Down2,1246.61,0,58,24,4,T,36722011East-Down2,4.30476E+13
36,7,2,20,1,1,North-Left2,0,0,0,0,0,T,36722011North-Left2,4.30476E+13
36,7,2,20,1,1,North-Left1,2576.93,88,42,20,4,T,36722011North-Left1,4.30476E+13
36,7,2,20,1,1,North-Right1,2579.76,88,42,50,4,T,36722011North-Right1,4.30476E+13
36,7,2,20,1,1,North-Right2,0,0,0,0,0,T,36722011North-Right2,4.30476E+13
36,7,2,20,1,1,South-Left2,0,0,0,0,0,T,36722011South-Left2,4.30476E+13
36,7,2,20,1,1,South-Left1,2657.75,89,23,17,3,T,36722011South-Left1,4.30476E+13
36,7,2,20,1,1,South-Right1,2657.77,89,22,53,3,T,36722011South-Right1,4.30476E+13
36,7,2,20,1,1,South-Right2,0,0,0,0,0,T,36722011South-Right2,4.30476E+13
21,9,2,21,1,1,West-Up2,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,T,21922111West-Up2,4.30475E+13
21,9,2,21,1,1,West-Up1,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,T,21922111West-Up1,4.30475E+13
21,9,2,21,1,1,West-Down1,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,T,21922111West-Down1,4.30475E+13
21,9,2,21,1,1,West-Down2,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,T,21922111West-Down2,4.30475E+13
21,9,2,21,1,1,East-Up2,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,T,21922111East-Up2,4.30475E+13
21,9,2,21,1,1,East-Up1,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,T,21922111East-Up1,4.30475E+13
21,9,2,21,1,1,East-Down1,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,T,21922111East-Down1,4.30475E+13
21,9,2,21,1,1,East-Down2,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,T,21922111East-Down2,4.30475E+13
21,9,2,21,1,1,North-Left2,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,T,21922111North-Left2,4.30475E+13
21,9,2,21,1,1,North-Left1,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,T,21922111North-Left1,4.30475E+13
21,9,2,21,1,1,North-Right1,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,T,21922111North-Right1,4.30475E+13
21,9,2,21,1,1,North-Right2,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,T,21922111North-Right2,4.30475E+13
21,9,2,21,1,1,South-Left2,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,T,21922111South-Left2,4.30475E+13
21,9,2,21,1,1,South-Left1,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,T,21922111South-Left1,4.30475E+13
21,9,2,21,1,1,South-Right1,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,T,21922111South-Right1,4.30475E+13
21,9,2,21,1,1,South-Right2,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,T,21922111South-Right2,4.30475E+13
19,9,2,21,1,1,West-Up2,0,0,0,0,0,T,19922111West-Up2,4.30475E+13
19,9,2,21,1,1,West-Up1,2626.38,0,55,8,4,T,19922111West-Up1,4.30475E+13
19,9,2,21,1,1,West-Down1,2639.02,0,57,52,4,T,19922111West-Down1,4.30475E+13
19,9,2,21,1,1,West-Down2,0,0,0,0,0,T,19922111West-Down2,4.30475E+13
19,9,2,21,1,1,East-Up2,0,0,0,0,0,T,19922111East-Up2,4.30475E+13
19,9,2,21,1,1,East-Up1,2657.29,0,3,14,4,T,19922111East-Up1,4.30475E+13
19,9,2,21,1,1,East-Down1,2639.02,0,57,52,4,T,19922111East-Down1,4.30475E+13
19,9,2,21,1,1,East-Down2,0,0,0,0,0,T,19922111East-Down2,4.30475E+13
19,9,2,21,1,1,North-Left2,0,0,0,0,0,T,19922111North-Left2,4.30475E+13
19,9,2,21,1,1,North-Left1,3104.34,89,41,11,3,T,19922111North-Left1,4.30475E+13
19,9,2,21,1,1,North-Right1,2644.02,89,59,21,1,T,19922111North-Right1,4.30475E+13
19,9,2,21,1,1,North-Right2,0,0,0,0,0,T,19922111North-Right2,4.30475E+13
19,9,2,21,1,1,South-Left2,0,0,0,0,0,T,19922111South-Left2,4.30475E+13
19,9,2,21,1,1,South-Left1,2632.85,89,5,57,3,T,19922111South-Left1,4.30475E+13
19,9,2,21,1,1,South-Right1,2641.19,89,17,32,3,T,19922111South-Right1,4.30475E+13
19,9,2,21,1,1,South-Right2,0,0,0,0,0,T,19922111South-Right2,4.30475E+13
25,3,2,6,2,2,West-Up2,0,0,0,0,0,T,2532622West-Up2,4.30135E+13
25,3,2,6,2,2,West-Up1,5280,0,31,3,2,T,2532622West-Up1,4.30135E+13
25,3,2,6,2,2,West-Down1,0,0,0,0,0,T,2532622West-Down1,4.30135E+13
25,3,2,6,2,2,West-Down2,0,0,0,0,0,T,2532622West-Down2,4.30135E+13
25,3,2,6,2,2,East-Up2,1315.6,0,5,54,4,T,2532622East-Up2,4.30135E+13
25,3,2,6,2,2,East-Up1,1314.46,0,1,53,2,T,2532622East-Up1,4.30135E+13
25,3,2,6,2,2,East-Down1,2631.46,0,4,38,2,T,2532622East-Down1,4.30135E+13
25,3,2,6,2,2,East-Down2,0,0,0,0,0,T,2532622East-Down2,4.30135E+13
25,3,2,6,2,2,North-Left2,0,0,0,0,0,T,2532622North-Left2,4.30135E+13
25,3,2,6,2,2,North-Left1,2621.6,89,34,50,1,T,2532622North-Left1,4.30135E+13
25,3,2,6,2,2,North-Right1,1323.02,89,58,19,1,T,2532622North-Right1,4.30135E+13
25,3,2,6,2,2,North-Right2,1322.63,89,59,21,1,T,2532622North-Right2,4.30135E+13
25,3,2,6,2,2,South-Left2,1320.95,89,43,23,2,T,2532622South-Left2,4.30135E+13
25,3,2,6,2,2,South-Left1,1320.9,89,42,59,2,T,2532622South-Left1,4.30135E+13
25,3,2,6,2,2,South-Right1,2645.44,89,54,55,4,T,2532622South-Right1,4.30135E+13
25,3,2,6,2,2,South-Right2,0,0,0,0,0,T,2532622South-Right2,4.30135E+13
20,2,2,1,1,2,West-Up2,1320.33,0,7,57,4,T,2022112West-Up2,4.30476E+13
20,2,2,1,1,2,West-Up1,1323.18,0,0,30,4,T,2022112West-Up1,4.30476E+13
20,2,2,1,1,2,West-Down1,1321.99,0,15,45,4,T,2022112West-Down1,4.30476E+13
20,2,2,1,1,2,West-Down2,1317.33,0,15,20,4,T,2022112West-Down2,4.30476E+13
20,2,2,1,1,2,East-Up2,1314.94,0,8,46,2,T,2022112East-Up2,4.30476E+13
20,2,2,1,1,2,East-Up1,1322.3,0,8,46,2,T,2022112East-Up1,4.30476E+13
20,2,2,1,1,2,East-Down1,2608.05,0,22,14,2,T,2022112East-Down1,4.30476E+13
20,2,2,1,1,2,East-Down2,0,0,0,0,0,T,2022112East-Down2,4.30476E+13
20,2,2,1,1,2,North-Left2,0,0,0,0,0,T,2022112North-Left2,4.30476E+13
20,2,2,1,1,2,North-Left1,2642.82,89,17,58,4,T,2022112North-Left1,4.30476E+13
20,2,2,1,1,2,North-Right1,1309.5,89,17,58,4,T,2022112North-Right1,4.30476E+13
20,2,2,1,1,2,North-Right2,1338.43,89,17,58,4,T,2022112North-Right2,4.30476E+13
20,2,2,1,1,2,South-Left2,0,0,0,0,0,T,2022112South-Left2,4.30476E+13
20,2,2,1,1,2,South-Left1,2611.28,89,45,31,4,T,2022112South-Left1,4.30476E+13
20,2,2,1,1,2,South-Right1,2640.38,89,39,1,4,T,2022112South-Right1,4.30476E+13
20,2,2,1,1,2,South-Right2,0,0,0,0,0,T,2022112South-Right2,4.30476E+13
30,2,2,1,1,2,West-Up2,0,0,0,0,0,T,3022112West-Up2,4.30476E+13
30,2,2,1,1,2,West-Up1,2642.78,0,0,49,4,T,3022112West-Up1,4.30476E+13
30,2,2,1,1,2,West-Down1,2644.75,0,27,58,4,T,3022112West-Down1,4.30476E+13
30,2,2,1,1,2,West-Down2,0,0,0,0,0,T,3022112West-Down2,4.30476E+13
30,2,2,1,1,2,East-Up2,0,0,0,0,0,T,3022112East-Up2,4.30476E+13
30,2,2,1,1,2,East-Up1,2640.87,0,41,11,2,T,3022112East-Up1,4.30476E+13
30,2,2,1,1,2,East-Down1,2635.69,0,26,54,4,T,3022112East-Down1,4.30476E+13
30,2,2,1,1,2,East-Down2,0,0,0,0,0,T,3022112East-Down2,4.30476E+13
30,2,2,1,1,2,North-Left2,0,0,0,0,0,T,3022112North-Left2,4.30476E+13
30,2,2,1,1,2,North-Left1,2668.13,89,12,4,4,T,3022112North-Left1,4.30476E+13
30,2,2,1,1,2,North-Right1,1328.26,89,48,36,4,T,3022112North-Right1,4.30476E+13
30,2,2,1,1,2,North-Right2,1328.27,89,48,36,4,T,3022112North-Right2,4.30476E+13
30,2,2,1,1,2,South-Left2,0,0,0,0,0,T,3022112South-Left2,4.30476E+13
30,2,2,1,1,2,South-Left1,2661.24,89,37,0,1,T,3022112South-Left1,4.30476E+13
30,2,2,1,1,2,South-Right1,2630.1,89,38,21,1,T,3022112South-Right1,4.30476E+13
30,2,2,1,1,2,South-Right2,0,0,0,0,0,T,3022112South-Right2,4.30476E+13
23,4,2,2,1,2,West-Up2,1342.19,1,4,47,4,T,2342212West-Up2,4.30476E+13
23,4,2,2,1,2,West-Up1,719.79,1,4,47,4,T,2342212West-Up1,4.30476E+13
23,4,2,2,1,2,West-Down1,2636.47,1,5,1,4,T,2342212West-Down1,4.30476E+13
23,4,2,2,1,2,West-Down2,0,0,0,0,0,T,2342212West-Down2,4.30476E+13
23,4,2,2,1,2,East-Up2,1357.56,1,5,26,4,T,2342212East-Up2,4.30476E+13
23,4,2,2,1,2,East-Up1,1357.5,1,5,18,4,T,2342212East-Up1,4.30476E+13
23,4,2,2,1,2,East-Down1,1307.34,0,5,38,2,T,2342212East-Down1,4.30476E+13
23,4,2,2,1,2,East-Down2,763.23,1,46,51,4,T,2342212East-Down2,4.30476E+13
23,4,2,2,1,2,North-Left2,1204.99,88,12,32,2,T,2342212North-Left2,4.30476E+13
23,4,2,2,1,2,North-Left1,1318.01,88,9,24,3,T,2342212North-Left1,4.30476E+13
23,4,2,2,1,2,North-Right1,1318.03,88,9,30,3,T,2342212North-Right1,4.30476E+13
23,4,2,2,1,2,North-Right2,1386.61,87,30,54,3,T,2342212North-Right2,4.30476E+13
23,4,2,2,1,2,South-Left2,0,0,0,0,0,T,2342212South-Left2,4.30476E+13
23,4,2,2,1,2,South-Left1,2655.17,88,57,10,3,T,2342212South-Left1,4.30476E+13
23,4,2,2,1,2,South-Right1,1327.67,88,56,58,3,T,2342212South-Right1,4.30476E+13
23,4,2,2,1,2,South-Right2,1226.84,88,56,56,3,T,2342212South-Right2,4.30476E+13
8,3,2,1,1,2,West-Up2,0,0,0,0,0,T,832112West-Up2,4.30476E+13
8,3,2,1,1,2,West-Up1,2639.84,0,55,42,4,T,832112West-Up1,4.30476E+13
8,3,2,1,1,2,West-Down1,2636.29,0,59,43,4,T,832112West-Down1,4.30476E+13
8,3,2,1,1,2,West-Down2,0,0,0,0,0,T,832112West-Down2,4.30476E+13
8,3,2,1,1,2,East-Up2,0,0,0,0,0,T,832112East-Up2,4.30476E+13
8,3,2,1,1,2,East-Up1,2637.35,1,3,24,1,T,832112East-Up1,4.30476E+13
8,3,2,1,1,2,East-Down1,2642.28,1,3,8,1,T,832112East-Down1,4.30476E+13
8,3,2,1,1,2,East-Down2,0,0,0,0,0,T,832112East-Down2,4.30476E+13
8,3,2,1,1,2,North-Left2,0,0,0,0,0,T,832112North-Left2,4.30476E+13
8,3,2,1,1,2,North-Left1,2629.68,89,8,16,2,T,832112North-Left1,4.30476E+13
8,3,2,1,1,2,North-Right1,2629.91,89,8,9,2,T,832112North-Right1,4.30476E+13
8,3,2,1,1,2,North-Right2,0,0,0,0,0,T,832112North-Right2,4.30476E+13
8,3,2,1,1,2,South-Left2,0,0,0,0,0,T,832112South-Left2,4.30476E+13
8,3,2,1,1,2,South-Left1,2629.45,89,10,57,2,T,832112South-Left1,4.30476E+13
8,3,2,1,1,2,South-Right1,2638.69,89,10,0,2,T,832112South-Right1,4.30476E+13
8,3,2,1,1,2,South-Right2,0,0,0,0,0,T,832112South-Right2,4.30476E+13
11,5,2,2,1,2,West-Up2,1319.66,0,0,55,1,T,1152212West-Up2,4.30476E+13
11,5,2,2,1,2,West-Up1,1319.67,0,0,49,1,T,1152212West-Up1,4.30476E+13
11,5,2,2,1,2,West-Down1,2636.72,0,21,14,4,T,1152212West-Down1,4.30476E+13
11,5,2,2,1,2,West-Down2,0,0,0,0,0,T,1152212West-Down2,4.30476E+13
11,5,2,2,1,2,East-Up2,0,0,0,0,0,T,1152212East-Up2,4.30476E+13
11,5,2,2,1,2,East-Up1,5274.04,0,21,52,4,T,1152212East-Up1,4.30476E+13
11,5,2,2,1,2,East-Down1,0,0,0,0,0,T,1152212East-Down1,4.30476E+13
11,5,2,2,1,2,East-Down2,0,0,0,0,0,T,1152212East-Down2,4.30476E+13
11,5,2,2,1,2,North-Left2,0,0,0,0,0,T,1152212North-Left2,4.30476E+13
11,5,2,2,1,2,North-Left1,2629.83,89,59,17,1,T,1152212North-Left1,4.30476E+13
11,5,2,2,1,2,North-Right1,1329.45,89,48,51,1,T,1152212North-Right1,4.30476E+13
11,5,2,2,1,2,North-Right2,1181.66,89,49,27,1,T,1152212North-Right2,4.30476E+13
11,5,2,2,1,2,South-Left2,1320.53,89,40,58,2,T,1152212South-Left2,4.30476E+13
11,5,2,2,1,2,South-Left1,635.76,89,41,35,2,T,1152212South-Left1,4.30476E+13
11,5,2,2,1,2,South-Right1,2600,89,41,35,2,T,1152212South-Right1,4.30476E+13
11,5,2,2,1,2,South-Right2,0,0,0,0,0,T,1152212South-Right2,4.30476E+13
16,3,2,1,1,2,West-Up2,1326.46,0,34,23,2,T,1632112West-Up2,4.30476E+13
16,3,2,1,1,2,West-Up1,1326.37,0,30,55,2,T,1632112West-Up1,4.30476E+13
16,3,2,1,1,2,West-Down1,1332.34,0,15,55,2,T,1632112West-Down1,4.30476E+13
16,3,2,1,1,2,West-Down2,1333.18,0,20,45,4,T,1632112West-Down2,4.30476E+13
16,3,2,1,1,2,East-Up2,0,0,0,0,0,T,1632112East-Up2,4.30476E+13
16,3,2,1,1,2,East-Up1,2640.6,0,21,37,2,T,1632112East-Up1,4.30476E+13
16,3,2,1,1,2,East-Down1,2656.21,1,2,25,2,T,1632112East-Down1,4.30476E+13
16,3,2,1,1,2,East-Down2,0,0,0,0,0,T,1632112East-Down2,4.30476E+13
16,3,2,1,1,2,North-Left2,0,0,0,0,0,T,1632112North-Left2,4.30476E+13
16,3,2,1,1,2,North-Left1,2643.7,89,59,18,2,T,1632112North-Left1,4.30476E+13
16,3,2,1,1,2,North-Right1,2673.45,89,59,18,2,T,1632112North-Right1,4.30476E+13
16,3,2,1,1,2,North-Right2,0,0,0,0,0,T,1632112North-Right2,4.30476E+13
16,3,2,1,1,2,South-Left2,1323,89,47,38,2,T,1632112South-Left2,4.30476E+13
16,3,2,1,1,2,South-Left1,1315.46,89,35,33,1,T,1632112South-Left1,4.30476E+13
16,3,2,1,1,2,South-Right1,1326.71,89,5,28,1,T,1632112South-Right1,4.30476E+13
16,3,2,1,1,2,South-Right2,1327.61,89,17,10,2,T,1632112South-Right2,4.30476E+13
15,3,2,1,1,2,West-Up2,0,0,0,0,0,T,1532112West-Up2,4.30476E+13
15,3,2,1,1,2,West-Up1,2640.6,0,21,37,2,T,1532112West-Up1,4.30476E+13
15,3,2,1,1,2,West-Down1,2653.44,0,13,18,4,T,1532112West-Down1,4.30476E+13
15,3,2,1,1,2,West-Down2,0,0,0,0,0,T,1532112West-Down2,4.30476E+13
15,3,2,1,1,2,East-Up2,1326.98,0,10,7,2,T,1532112East-Up2,4.30476E+13
15,3,2,1,1,2,East-Up1,1326.75,0,25,25,4,T,1532112East-Up1,4.30476E+13
15,3,2,1,1,2,East-Down1,1326.64,0,7,37,4,T,1532112East-Down1,4.30476E+13
15,3,2,1,1,2,East-Down2,1318.55,0,23,48,4,T,1532112East-Down2,4.30476E+13
15,3,2,1,1,2,North-Left2,1323,89,47,38,2,T,1532112North-Left2,4.30476E+13
15,3,2,1,1,2,North-Left1,1315.46,89,35,33,1,T,1532112North-Left1,4.30476E+13
15,3,2,1,1,2,North-Right1,1326.71,89,5,28,1,T,1532112North-Right1,4.30476E+13
15,3,2,1,1,2,North-Right2,1327.61,89,17,10,2,T,1532112North-Right2,4.30476E+13
15,3,2,1,1,2,South-Left2,0,0,0,0,0,T,1532112South-Left2,4.30476E+13
15,3,2,1,1,2,South-Left1,2635.6,89,40,23,1,T,1532112South-Left1,4.30476E+13
15,3,2,1,1,2,South-Right1,2681.21,89,58,39,2,T,1532112South-Right1,4.30476E+13
15,3,2,1,1,2,South-Right2,0,0,0,0,0,T,1532112South-Right2,4.30476E+13
21,3,2,1,2,2,West-Up2,1320.43,0,9,1,4,T,2132122West-Up2,4.30135E+13
21,3,2,1,2,2,West-Up1,1320.43,0,9,1,4,T,2132122West-Up1,4.30135E+13
21,3,2,1,2,2,West-Down1,1313.37,0,9,13,4,T,2132122West-Down1,4.30135E+13
21,3,2,1,2,2,West-Down2,1321.48,0,0,13,4,T,2132122West-Down2,4.30135E+13
21,3,2,1,2,2,East-Up2,0,0,0,0,0,T,2132122East-Up2,4.30135E+13
21,3,2,1,2,2,East-Up1,2637.78,0,14,57,2,T,2132122East-Up1,4.30135E+13
21,3,2,1,2,2,East-Down1,2672.07,0,14,57,2,T,2132122East-Down1,4.30135E+13
21,3,2,1,2,2,East-Down2,0,0,0,0,0,T,2132122East-Down2,4.30135E+13
21,3,2,1,2,2,North-Left2,1325.58,89,53,20,3,T,2132122North-Left2,4.30135E+13
21,3,2,1,2,2,North-Left1,1318.12,89,56,56,3,T,2132122North-Left1,4.30135E+13
21,3,2,1,2,2,North-Right1,2641.17,89,55,18,1,T,2132122North-Right1,4.30135E+13
21,3,2,1,2,2,North-Right2,0,0,0,0,0,T,2132122North-Right2,4.30135E+13
21,3,2,1,2,2,South-Left2,0,0,0,0,0,T,2132122South-Left2,4.30135E+13
21,3,2,1,2,2,South-Left1,2608.11,89,40,35,1,T,2132122South-Left1,4.30135E+13
21,3,2,1,2,2,South-Right1,2643.25,89,34,58,1,T,2132122South-Right1,4.30135E+13
21,3,2,1,2,2,South-Right2,0,0,0,0,0,T,2132122South-Right2,4.30135E+13
32,3,2,1,1,2,West-Up2,1322.2,0,57,38,1,T,3232112West-Up2,4.30476E+13
32,3,2,1,1,2,West-Up1,1322.2,0,57,38,1,T,3232112West-Up1,4.30476E+13
32,3,2,1,1,2,West-Down1,1334.05,0,57,38,1,T,3232112West-Down1,4.30476E+13
32,3,2,1,1,2,West-Down2,1334.05,0,57,38,1,T,3232112West-Down2,4.30476E+13
32,3,2,1,1,2,East-Up2,0,0,0,0,0,T,3232112East-Up2,4.30476E+13
32,3,2,1,1,2,East-Up1,2643.2,1,1,55,1,T,3232112East-Up1,4.30476E+13
32,3,2,1,1,2,East-Down1,2640.79,0,58,46,1,T,3232112East-Down1,4.30476E+13
32,3,2,1,1,2,East-Down2,0,0,0,0,0,T,3232112East-Down2,4.30476E+13
32,3,2,1,1,2,North-Left2,1331.9,89,3,34,2,T,3232112North-Left2,4.30476E+13
32,3,2,1,1,2,North-Left1,1307.97,89,3,34,2,T,3232112North-Left1,4.30476E+13
32,3,2,1,1,2,North-Right1,1307.96,89,3,34,2,T,3232112North-Right1,4.30476E+13
32,3,2,1,1,2,North-Right2,1307.96,89,3,34,2,T,3232112North-Right2,4.30476E+13
32,3,2,1,1,2,South-Left2,1314.94,88,41,27,2,T,3232112South-Left2,4.30476E+13
32,3,2,1,1,2,South-Left1,1374.89,88,41,27,2,T,3232112South-Left1,4.30476E+13
32,3,2,1,1,2,South-Right1,2569.87,88,48,21,2,T,3232112South-Right1,4.30476E+13
32,3,2,1,1,2,South-Right2,0,0,0,0,0,T,3232112South-Right2,4.30476E+13
1,5,2,2,1,2,West-Up2,1327.41,0,20,21,2,T,152212West-Up2,4.30476E+13
1,5,2,2,1,2,West-Up1,1306.3,0,17,40,4,T,152212West-Up1,4.30476E+13
1,5,2,2,1,2,West-Down1,2249.7,0,4,59,3,T,152212West-Down1,4.30476E+13
1,5,2,2,1,2,West-Down2,0,0,0,0,0,T,152212West-Down2,4.30476E+13
