Section,Township,Township Direction,Range,Range Direction,Baseline,Side,Length,Degrees,Minutes,Seconds,Alignment,Concatenation,North Reference,Northing,Easting,API,Quadrant,FNSL Value,FNSL Direction,FEWL Value,FEWL Direction
17,7,2,20,1,1,South-Left2,0,0,0,0,0,17722011South-Left2,,17722011South-Left2,610640,4451224,,371,371,927,FWL
17,7,2,20,1,1,South-Left1,2648.07,88,5,44,3,17722011South-Left1,,17722011South-Left1,610640,4451224,,371,371,927,FWL
17,7,2,20,1,1,South-Right1,2641.29,88,2,51,3,17722011South-Right1,,17722011South-Right1,610640,4451224,,371,371,927,FWL
17,7,2,20,1,1,South-Right2,0,0,0,0,0,17722011South-Right2,,17722011South-Right2,610640,4451224,,371,371,927,FWL
1,3,2,2,2,2,West-Up2,1321.985,1,7,1,4,132222West-Up2,,132222West-Up2,580448,4456439,,1463,1463,1552,FEL
1,3,2,2,2,2,West-Up1,1321.985,1,7,1,4,132222West-Up1,,132222West-Up1,580448,4456439,,1463,1463,1552,FEL
1,3,2,2,2,2,West-Down1,1321.985,1,7,1,4,132222West-Down1,,132222West-Down1,580448,4456439,,1463,1463,1552,FEL
1,3,2,2,2,2,West-Down2,1321.985,1,7,1,4,132222West-Down2,,132222West-Down2,580448,4456439,,1463,1463,1552,FEL
1,3,2,2,2,2,East-Up2,1322.35,0,54,41,4,132222East-Up2,,132222East-Up2,580448,4456439,,1463,1463,1552,FEL
1,3,2,2,2,2,East-Up1,1322.35,0,54,41,4,132222East-Up1,,132222East-Up1,580448,4456439,,1463,1463,1552,FEL
1,3,2,2,2,2,East-Down1,1320.81,1,3,6,4,132222East-Down1,,132222East-Down1,580448,4456439,,1463,1463,1552,FEL
1,3,2,2,2,2,East-Down2,1321.04,0,54,40,4,132222East-Down2,,132222East-Down2,580448,4456439,,1463,1463,1552,FEL
1,3,2,2,2,2,North-Left2,1325.34,88,59,29,3,132222North-Left2,,132222North-Left2,580448,4456439,,1463,1463,1552,FEL
1,3,2,2,2,2,North-Left1,1325.34,88,59,29,3,132222North-Left1,,132222North-Left1,580448,4456439,,1463,1463,1552,FEL
1,3,2,2,2,2,North-Right1,1316.15,89,12,42,3,132222North-Right1,,132222North-Right1,580448,4456439,,1463,1463,1552,FEL
1,3,2,2,2,2,North-Right2,1317.29,88,26,37,3,132222North-Right2,,132222North-Right2,580448,4456439,,1463,1463,1552,FEL
1,3,2,2,2,2,South-Left2,1317.81,88,57,7,3,132222South-Left2,,132222South-Left2,580448,4456439,,1463,1463,1552,FEL
1,3,2,2,2,2,South-Left1,1310.55,88,51,1,3,132222South-Left1,,132222South-Left1,580448,4456439,,1463,1463,1552,FEL
1,3,2,2,2,2,South-Right1,1319.98,88,53,15,3,132222South-Right1,,132222South-Right1,580448,4456439,,1463,1463,1552,FEL
1,3,2,2,2,2,South-Right2,1319.98,88,53,15,3,132222South-Right2,,132222South-Right2,580448,4456439,,1463,1463,1552,FEL
6,2,2,1,1,2,West-Up2,1321.39,0,24,2,4,622112West-Up2,,622112West-Up2,590968,4463398,,330,330,2400,FWL
6,2,2,1,1,2,West-Up1,1322.06,1,50,57,4,622112West-Up1,,622112West-Up1,590968,4463398,,330,330,2400,FWL
6,2,2,1,1,2,West-Down1,1314.115,0,30,36,2,622112West-Down1,,622112West-Down1,590968,4463398,,330,330,2400,FWL
6,2,2,1,1,2,West-Down2,1314.115,0,30,36,2,622112West-Down2,,622112West-Down2,590968,4463398,,330,330,2400,FWL
6,2,2,1,1,2,East-Up2,1331.1875,0,0,19,3,622112East-Up2,,622112East-Up2,590968,4463398,,330,330,2400,FWL
6,2,2,1,1,2,East-Up1,1331.1875,0,0,19,3,622112East-Up1,,622112East-Up1,590968,4463398,,330,330,2400,FWL
6,2,2,1,1,2,East-Down1,1331.1875,0,0,19,3,622112East-Down1,,622112East-Down1,590968,4463398,,330,330,2400,FWL
6,2,2,1,1,2,East-Down2,1331.1875,0,0,19,3,622112East-Down2,,622112East-Down2,590968,4463398,,330,330,2400,FWL
6,2,2,1,1,2,North-Left2,1319.65,89,42,1,2,622112North-Left2,,622112North-Left2,590968,4463398,,330,330,2400,FWL
6,2,2,1,1,2,North-Left1,1319.69,89,41,51,2,622112North-Left1,,622112North-Left1,590968,4463398,,330,330,2400,FWL
6,2,2,1,1,2,North-Right1,1317.72,89,52,15,2,622112North-Right1,,622112North-Right1,590968,4463398,,330,330,2400,FWL
6,2,2,1,1,2,North-Right2,1317.72,89,52,15,2,622112North-Right2,,622112North-Right2,590968,4463398,,330,330,2400,FWL
6,2,2,1,1,2,South-Left2,1303.04,89,45,17,4,622112South-Left2,,622112South-Left2,590968,4463398,,330,330,2400,FWL
6,2,2,1,1,2,South-Left1,1327.93,89,47,30,4,622112South-Left1,,622112South-Left1,590968,4463398,,330,330,2400,FWL
6,2,2,1,1,2,South-Right1,1300.9,89,38,42,4,622112South-Right1,,622112South-Right1,590968,4463398,,330,330,2400,FWL
6,2,2,1,1,2,South-Right2,1314.01,89,19,10,4,622112South-Right2,,622112South-Right2,590968,4463398,,330,330,2400,FWL
33,2,2,2,2,2,West-Up2,1285.345,0,7,49,4,3322222West-Up2,,3322222West-Up2,575473,4457782,,1929,1929,1994,FEL
33,2,2,2,2,2,West-Up1,1285.345,0,7,49,4,3322222West-Up1,,3322222West-Up1,575473,4457782,,1929,1929,1994,FEL
33,2,2,2,2,2,West-Down1,1308.92,0,15,45,4,3322222West-Down1,,3322222West-Down1,575473,4457782,,1929,1929,1994,FEL
33,2,2,2,2,2,West-Down2,1311.8,0,17,40,4,3322222West-Down2,,3322222West-Down2,575473,4457782,,1929,1929,1994,FEL
33,2,2,2,2,2,East-Up2,1287.535,0,1,32,2,3322222East-Up2,,3322222East-Up2,575473,4457782,,1929,1929,1994,FEL
33,2,2,2,2,2,East-Up1,1287.535,0,1,32,2,3322222East-Up1,,3322222East-Up1,575473,4457782,,1929,1929,1994,FEL
33,2,2,2,2,2,East-Down1,1317.05,0,20,18,4,3322222East-Down1,,3322222East-Down1,575473,4457782,,1929,1929,1994,FEL
33,2,2,2,2,2,East-Down2,1318.09,0,7,13,4,3322222East-Down2,,3322222East-Down2,575473,4457782,,1929,1929,1994,FEL
33,2,2,2,2,2,North-Left2,1319.886667,89,58,5,3,3322222North-Left2,,3322222North-Left2,575473,4457782,,1929,1929,1994,FEL
33,2,2,2,2,2,North-Left1,1319.886667,89,58,5,3,3322222North-Left1,,3322222North-Left1,575473,4457782,,1929,1929,1994,FEL
33,2,2,2,2,2,North-Right1,1319.886667,89,58,5,3,3322222North-Right1,,3322222North-Right1,575473,4457782,,1929,1929,1994,FEL
33,2,2,2,2,2,North-Right2,1319.22,89,57,11,4,3322222North-Right2,,3322222North-Right2,575473,4457782,,1929,1929,1994,FEL
33,2,2,2,2,2,South-Left2,1320.15,88,57,5,2,3322222South-Left2,,3322222South-Left2,575473,4457782,,1929,1929,1994,FEL
33,2,2,2,2,2,South-Left1,1320,89,11,39,2,3322222South-Left1,,3322222South-Left1,575473,4457782,,1929,1929,1994,FEL
33,2,2,2,2,2,South-Right1,1323.45,89,11,39,2,3322222South-Right1,,3322222South-Right1,575473,4457782,,1929,1929,1994,FEL
33,2,2,2,2,2,South-Right2,1323.45,89,11,39,2,3322222South-Right2,,3322222South-Right2,575473,4457782,,1929,1929,1994,FEL
10,20,2,21,1,1,West-Up2,1320,0,2,0,4,102022111West-Up2,,102022111West-Up2,622775,4326907,,2050,2050,1890,FEL
10,20,2,21,1,1,West-Up1,1320,0,2,0,4,102022111West-Up1,,102022111West-Up1,622775,4326907,,2050,2050,1890,FEL
10,20,2,21,1,1,West-Down1,1320,0,2,0,4,102022111West-Down1,,102022111West-Down1,622775,4326907,,2050,2050,1890,FEL
10,20,2,21,1,1,West-Down2,1320,0,2,0,4,102022111West-Down2,,102022111West-Down2,622775,4326907,,2050,2050,1890,FEL
10,20,2,21,1,1,East-Up2,1320,0,1,0,4,102022111East-Up2,,102022111East-Up2,622775,4326907,,2050,2050,1890,FEL
10,20,2,21,1,1,East-Up1,1320,0,1,0,4,102022111East-Up1,,102022111East-Up1,622775,4326907,,2050,2050,1890,FEL
10,20,2,21,1,1,East-Down1,1319.55,0,0,38,2,102022111East-Down1,,102022111East-Down1,622775,4326907,,2050,2050,1890,FEL
10,20,2,21,1,1,East-Down2,1319.55,0,0,38,2,102022111East-Down2,,102022111East-Down2,622775,4326907,,2050,2050,1890,FEL
10,20,2,21,1,1,North-Left2,1321.65,89,56,0,4,102022111North-Left2,,102022111North-Left2,622775,4326907,,2050,2050,1890,FEL
10,20,2,21,1,1,North-Left1,1321.65,89,56,0,4,102022111North-Left1,,102022111North-Left1,622775,4326907,,2050,2050,1890,FEL
10,20,2,21,1,1,North-Right1,1321.65,89,56,0,4,102022111North-Right1,,102022111North-Right1,622775,4326907,,2050,2050,1890,FEL
10,20,2,21,1,1,North-Right2,1321.65,89,56,0,4,102022111North-Right2,,102022111North-Right2,622775,4326907,,2050,2050,1890,FEL
10,20,2,21,1,1,South-Left2,1322.95,89,51,17,4,102022111South-Left2,,102022111South-Left2,622775,4326907,,2050,2050,1890,FEL
10,20,2,21,1,1,South-Left1,1322.95,89,51,17,4,102022111South-Left1,,102022111South-Left1,622775,4326907,,2050,2050,1890,FEL
10,20,2,21,1,1,South-Right1,1320.52,89,55,26,4,102022111South-Right1,,102022111South-Right1,622775,4326907,,2050,2050,1890,FEL
10,20,2,21,1,1,South-Right2,1320.52,89,55,26,4,102022111South-Right2,,102022111South-Right2,622775,4326907,,2050,2050,1890,FEL
18,9,2,21,1,1,West-Up2,1319.31,0,57,36,4,18922111West-Up2,,18922111West-Up2,619817,4432296,,1318,1318,2818,FWL
18,9,2,21,1,1,West-Up1,1319.31,0,57,36,4,18922111West-Up1,,18922111West-Up1,619817,4432296,,1318,1318,2818,FWL
18,9,2,21,1,1,West-Down1,1322.045,1,3,58,4,18922111West-Down1,,18922111West-Down1,619817,4432296,,1318,1318,2818,FWL
18,9,2,21,1,1,West-Down2,1322.045,1,3,58,4,18922111West-Down2,,18922111West-Down2,619817,4432296,,1318,1318,2818,FWL
18,9,2,21,1,1,East-Up2,1319.235,0,2,23,4,18922111East-Up2,,18922111East-Up2,619817,4432296,,1318,1318,2818,FWL
18,9,2,21,1,1,East-Up1,1319.235,0,2,23,4,18922111East-Up1,,18922111East-Up1,619817,4432296,,1318,1318,2818,FWL
18,9,2,21,1,1,East-Down1,1330.595,0,3,52,4,18922111East-Down1,,18922111East-Down1,619817,4432296,,1318,1318,2818,FWL
18,9,2,21,1,1,East-Down2,1330.595,0,3,52,4,18922111East-Down2,,18922111East-Down2,619817,4432296,,1318,1318,2818,FWL
18,9,2,21,1,1,North-Left2,1601.17,89,23,20,3,18922111North-Left2,,18922111North-Left2,619817,4432296,,1318,1318,2818,FWL
18,9,2,21,1,1,North-Left1,1601.17,89,23,20,3,18922111North-Left1,,18922111North-Left1,619817,4432296,,1318,1318,2818,FWL
18,9,2,21,1,1,North-Right1,1318.095,89,59,52,3,18922111North-Right1,,18922111North-Right1,619817,4432296,,1318,1318,2818,FWL
18,9,2,21,1,1,North-Right2,1318.095,89,59,52,3,18922111North-Right2,,18922111North-Right2,619817,4432296,,1318,1318,2818,FWL
18,9,2,21,1,1,South-Left2,1300,88,30,42,3,18922111South-Left2,,18922111South-Left2,619817,4432296,,1318,1318,2818,FWL
18,9,2,21,1,1,South-Left1,1300,88,30,42,3,18922111South-Left1,,18922111South-Left1,619817,4432296,,1318,1318,2818,FWL
18,9,2,21,1,1,South-Right1,1319.94,89,15,49,3,18922111South-Right1,,18922111South-Right1,619817,4432296,,1318,1318,2818,FWL
18,9,2,21,1,1,South-Right2,1317.53,89,16,41,3,18922111South-Right2,,18922111South-Right2,619817,4432296,,1318,1318,2818,FWL
5,3,2,1,1,2,West-Up2,1423.26,1,2,30,1,532112West-Up2,,532112West-Up2,592475,4456867,,564,564,1032,FWL
5,3,2,1,1,2,West-Up1,1321.14,1,6,41,1,532112West-Up1,,532112West-Up1,592475,4456867,,564,564,1032,FWL
5,3,2,1,1,2,West-Down1,1321.14,1,6,41,4,532112West-Down1,,532112West-Down1,592475,4456867,,564,564,1032,FWL
5,3,2,1,1,2,West-Down2,1321.14,1,6,41,4,532112West-Down2,,532112West-Down2,592475,4456867,,564,564,1032,FWL
5,3,2,1,1,2,East-Up2,1362.155,1,20,55,1,532112East-Up2,,532112East-Up2,592475,4456867,,564,564,1032,FWL
5,3,2,1,1,2,East-Up1,1362.155,1,20,55,1,532112East-Up1,,532112East-Up1,592475,4456867,,564,564,1032,FWL
5,3,2,1,1,2,East-Down1,1324.835,0,31,4,4,532112East-Down1,,532112East-Down1,592475,4456867,,564,564,1032,FWL
5,3,2,1,1,2,East-Down2,1324.835,0,31,4,4,532112East-Down2,,532112East-Down2,592475,4456867,,564,564,1032,FWL
5,3,2,1,1,2,North-Left2,1318.29,89,13,24,2,532112North-Left2,,532112North-Left2,592475,4456867,,564,564,1032,FWL
5,3,2,1,1,2,North-Left1,1318.89,89,13,0,2,532112North-Left1,,532112North-Left1,592475,4456867,,564,564,1032,FWL
5,3,2,1,1,2,North-Right1,1318.475,89,20,27,2,532112North-Right1,,532112North-Right1,592475,4456867,,564,564,1032,FWL
5,3,2,1,1,2,North-Right2,1318.475,89,20,27,2,532112North-Right2,,532112North-Right2,592475,4456867,,564,564,1032,FWL
5,3,2,1,1,2,South-Left2,1314.84,89,8,16,2,532112South-Left2,,532112South-Left2,592475,4456867,,564,564,1032,FWL
5,3,2,1,1,2,South-Left1,1314.84,89,8,16,2,532112South-Left1,,532112South-Left1,592475,4456867,,564,564,1032,FWL
5,3,2,1,1,2,South-Right1,1314.955,89,8,9,2,532112South-Right1,,532112South-Right1,592475,4456867,,564,564,1032,FWL
5,3,2,1,1,2,South-Right2,1314.955,89,8,9,2,532112South-Right2,,532112South-Right2,592475,4456867,,564,564,1032,FWL
33,2,2,4,2,2,West-Up2,1316.675,0,11,40,4,3322422West-Up2,,3322422West-Up2,558493,4457928,,1800,1800,185,FWL
33,2,2,4,2,2,West-Up1,1316.675,0,11,40,4,3322422West-Up1,,3322422West-Up1,558493,4457928,,1800,1800,185,FWL
33,2,2,4,2,2,West-Down1,1376.75,0,18,55,4,3322422West-Down1,,3322422West-Down1,558493,4457928,,1800,1800,185,FWL
33,2,2,4,2,2,West-Down2,1376.75,0,18,55,4,3322422West-Down2,,3322422West-Down2,558493,4457928,,1800,1800,185,FWL
33,2,2,4,2,2,East-Up2,1316.025,0,19,6,4,3322422East-Up2,,3322422East-Up2,558493,4457928,,1800,1800,185,FWL
33,2,2,4,2,2,East-Up1,1316.025,0,19,6,4,3322422East-Up1,,3322422East-Up1,558493,4457928,,1800,1800,185,FWL
33,2,2,4,2,2,East-Down1,1367.465,0,19,6,4,3322422East-Down1,,3322422East-Down1,558493,4457928,,1800,1800,185,FWL
33,2,2,4,2,2,East-Down2,1367.465,0,19,6,4,3322422East-Down2,,3322422East-Down2,558493,4457928,,1800,1800,185,FWL
33,2,2,4,2,2,North-Left2,1316.14,89,29,51,1,3322422North-Left2,,3322422North-Left2,558493,4457928,,1800,1800,185,FWL
33,2,2,4,2,2,North-Left1,1316.14,89,29,51,1,3322422North-Left1,,3322422North-Left1,558493,4457928,,1800,1800,185,FWL
33,2,2,4,2,2,North-Right1,1331.53,89,20,22,2,3322422North-Right1,,3322422North-Right1,558493,4457928,,1800,1800,185,FWL
33,2,2,4,2,2,North-Right2,1331.53,89,20,22,2,3322422North-Right2,,3322422North-Right2,558493,4457928,,1800,1800,185,FWL
33,2,2,4,2,2,South-Left2,126.54,89,32,32,3,3322422South-Left2,,3322422South-Left2,558493,4457928,,1800,1800,185,FWL
33,2,2,4,2,2,South-Left1,2522.82,89,48,1,3,3322422South-Left1,,3322422South-Left1,558493,4457928,,1800,1800,185,FWL
33,2,2,4,2,2,South-Right1,2530.25,89,37,59,3,3322422South-Right1,,3322422South-Right1,558493,4457928,,1800,1800,185,FWL
33,2,2,4,2,2,South-Right2,121.27,89,17,39,2,3322422South-Right2,,3322422South-Right2,558493,4457928,,1800,1800,185,FWL
7,2,2,3,2,2,West-Up2,1328.365,0,13,6,4,722322West-Up2,,722322West-Up2,562670,4464163,,1719,1719,1654,FEL
7,2,2,3,2,2,West-Up1,1328.365,0,13,6,4,722322West-Up1,,722322West-Up1,562670,4464163,,1719,1719,1654,FEL
7,2,2,3,2,2,West-Down1,1323.745,0,3,17,4,722322West-Down1,,722322West-Down1,562670,4464163,,1719,1719,1654,FEL
7,2,2,3,2,2,West-Down2,1323.745,0,3,17,4,722322West-Down2,,722322West-Down2,562670,4464163,,1719,1719,1654,FEL
7,2,2,3,2,2,East-Up2,1308.44,0,15,45,2,722322East-Up2,,722322East-Up2,562670,4464163,,1719,1719,1654,FEL
7,2,2,3,2,2,East-Up1,1308.44,0,15,45,2,722322East-Up1,,722322East-Up1,562670,4464163,,1719,1719,1654,FEL
7,2,2,3,2,2,East-Down1,1317.64,0,32,48,2,722322East-Down1,,722322East-Down1,562670,4464163,,1719,1719,1654,FEL
7,2,2,3,2,2,East-Down2,1317.64,0,32,48,2,722322East-Down2,,722322East-Down2,562670,4464163,,1719,1719,1654,FEL
7,2,2,3,2,2,North-Left2,1311.6375,89,59,27,3,722322North-Left2,,722322North-Left2,562670,4464163,,1719,1719,1654,FEL
7,2,2,3,2,2,North-Left1,1311.6375,89,59,27,3,722322North-Left1,,722322North-Left1,562670,4464163,,1719,1719,1654,FEL
7,2,2,3,2,2,North-Right1,1311.6375,89,59,27,3,722322North-Right1,,722322North-Right1,562670,4464163,,1719,1719,1654,FEL
7,2,2,3,2,2,North-Right2,1311.6375,89,59,27,3,722322North-Right2,,722322North-Right2,562670,4464163,,1719,1719,1654,FEL
7,2,2,3,2,2,South-Left2,1299.2575,89,24,56,3,722322South-Left2,,722322South-Left2,562670,4464163,,1719,1719,1654,FEL
7,2,2,3,2,2,South-Left1,1299.2575,89,24,56,3,722322South-Left1,,722322South-Left1,562670,4464163,,1719,1719,1654,FEL
7,2,2,3,2,2,South-Right1,1299.2575,89,24,56,3,722322South-Right1,,722322South-Right1,562670,4464163,,1719,1719,1654,FEL
7,2,2,3,2,2,South-Right2,1299.2575,89,24,56,3,722322South-Right2,,722322South-Right2,562670,4464163,,1719,1719,1654,FEL
20,4,2,1,2,2,West-Up2,0,0,0,0,0,2042122West-Up2,,2042122West-Up2,582920,4441062,,885,885,775,FWL
20,4,2,1,2,2,West-Up1,2624.34,0,46,42,1,2042122West-Up1,,2042122West-Up1,582920,4441062,,885,885,775,FWL
20,4,2,1,2,2,West-Down1,1302.23,0,26,20,1,2042122West-Down1,,2042122West-Down1,582920,4441062,,885,885,775,FWL
20,4,2,1,2,2,West-Down2,1302.23,0,26,20,1,2042122West-Down2,,2042122West-Down2,582920,4441062,,885,885,775,FWL
20,4,2,1,2,2,East-Up2,0,0,0,0,0,2042122East-Up2,,2042122East-Up2,582920,4441062,,885,885,775,FWL
20,4,2,1,2,2,East-Up1,2647.54,0,43,37,4,2042122East-Up1,,2042122East-Up1,582920,4441062,,885,885,775,FWL
20,4,2,1,2,2,East-Down1,2647.54,0,43,37,4,2042122East-Down1,,2042122East-Down1,582920,4441062,,885,885,775,FWL
20,4,2,1,2,2,East-Down2,0,0,0,0,0,2042122East-Down2,,2042122East-Down2,582920,4441062,,885,885,775,FWL
20,4,2,1,2,2,North-Left2,0,0,0,0,0,2042122North-Left2,,2042122North-Left2,582920,4441062,,885,885,775,FWL
20,4,2,1,2,2,North-Left1,2640.23,88,57,7,3,2042122North-Left1,,2042122North-Left1,582920,4441062,,885,885,775,FWL
20,4,2,1,2,2,North-Right1,2640.24,88,57,14,3,2042122North-Right1,,2042122North-Right1,582920,4441062,,885,885,775,FWL
20,4,2,1,2,2,North-Right2,0,0,0,0,0,2042122North-Right2,,2042122North-Right2,582920,4441062,,885,885,775,FWL
20,4,2,1,2,2,South-Left2,0,0,0,0,0,2042122South-Left2,,2042122South-Left2,582920,4441062,,885,885,775,FWL
20,4,2,1,2,2,South-Left1,2645.59,89,40,16,3,2042122South-Left1,,2042122South-Left1,582920,4441062,,885,885,775,FWL
20,4,2,1,2,2,South-Right1,2645.59,89,40,16,3,2042122South-Right1,,2042122South-Right1,582920,4441062,,885,885,775,FWL
20,4,2,1,2,2,South-Right2,0,0,0,0,0,2042122South-Right2,,2042122South-Right2,582920,4441062,,885,885,775,FWL
25,3,2,5,2,2,West-Up2,0,0,0,0,0,2532522West-Up2,,2532522West-Up2,550975,4449370,,1913,1913,3337,FEL
25,3,2,5,2,2,West-Up1,2640.85,0,3,54,2,2532522West-Up1,,2532522West-Up1,550975,4449370,,1913,1913,3337,FEL
25,3,2,5,2,2,West-Down1,2640.85,0,3,54,2,2532522West-Down1,,2532522West-Down1,550975,4449370,,1913,1913,3337,FEL
25,3,2,5,2,2,West-Down2,0,0,0,0,0,2532522West-Down2,,2532522West-Down2,550975,4449370,,1913,1913,3337,FEL
25,3,2,5,2,2,East-Up2,0,0,0,0,0,2532522East-Up2,,2532522East-Up2,550975,4449370,,1913,1913,3337,FEL
25,3,2,5,2,2,East-Up1,2648,0,5,24,3,2532522East-Up1,,2532522East-Up1,550975,4449370,,1913,1913,3337,FEL
25,3,2,5,2,2,East-Down1,2636.42,0,6,27,3,2532522East-Down1,,2532522East-Down1,550975,4449370,,1913,1913,3337,FEL
25,3,2,5,2,2,East-Down2,0,0,0,0,0,2532522East-Down2,,2532522East-Down2,550975,4449370,,1913,1913,3337,FEL
