Section,Township,Township Direction,Range,Range Direction,Baseline,Side,Length,Degrees,Minutes,Seconds,Alignment,North Reference,Concatenation
21,9,2,21,1,2,West-Up1,2649.15,0,7,36,4,T,21922112West-Up1
21,9,2,21,1,2,West-Down1,2638.4,0,5,56,2,T,21922112West-Down1
21,9,2,21,1,2,West-Down2,0,0,0,0,0,T,21922112West-Down2
21,9,2,21,1,2,East-Up2,0,0,0,0,0,T,21922112East-Up2
21,9,2,21,1,2,East-Up1,2644.02,0,0,23,4,T,21922112East-Up1
21,9,2,21,1,2,East-Down1,2644.02,0,0,23,4,T,21922112East-Down1
21,9,2,21,1,2,East-Down2,0,0,0,0,0,T,21922112East-Down2
21,9,2,21,1,2,North-Left2,0,0,0,0,0,T,21922112North-Left2
21,9,2,21,1,2,North-Left1,2641.74,89,56,4,3,T,21922112North-Left1
21,9,2,21,1,2,North-Right1,2635.79,89,53,20,4,T,21922112North-Right1
21,9,2,21,1,2,North-Right2,0,0,0,0,0,T,21922112North-Right2
21,9,2,21,1,2,South-Left2,0,0,0,0,0,T,21922112South-Left2
21,9,2,21,1,2,South-Left1,2638.41,89,58,15,4,T,21922112South-Left1
21,9,2,21,1,2,South-Right1,2638.49,89,58,41,4,T,21922112South-Right1
21,9,2,21,1,2,South-Right2,0,0,0,0,0,T,21922112South-Right2
16,9,2,21,1,2,West-Up2,0,0,0,0,0,T,16922112West-Up2
16,9,2,21,1,2,West-Up1,2649.15,0,7,36,4,T,16922112West-Up1
16,9,2,21,1,2,West-Down1,2638.4,0,5,56,2,T,16922112West-Down1
16,9,2,21,1,2,West-Down2,0,0,0,0,0,T,16922112West-Down2
16,9,2,21,1,2,East-Up2,0,0,0,0,0,T,16922112East-Up2
16,9,2,21,1,2,East-Up1,2644.02,0,0,23,4,T,16922112East-Up1
16,9,2,21,1,2,East-Down1,2644.02,0,0,23,4,T,16922112East-Down1
16,9,2,21,1,2,East-Down2,0,0,0,0,0,T,16922112East-Down2
16,9,2,21,1,2,North-Left2,0,0,0,0,0,T,16922112North-Left2
16,9,2,21,1,2,North-Left1,2641.74,89,56,4,3,T,16922112North-Left1
16,9,2,21,1,2,North-Right1,2635.79,89,53,20,4,T,16922112North-Right1
16,9,2,21,1,2,North-Right2,0,0,0,0,0,T,16922112North-Right2
16,9,2,21,1,2,South-Left2,0,0,0,0,0,T,16922112South-Left2
16,9,2,21,1,2,South-Left1,2638.41,89,58,15,4,T,16922112South-Left1
16,9,2,21,1,2,South-Right1,2638.49,89,58,41,4,T,16922112South-Right1
16,9,2,21,1,2,South-Right2,0,0,0,0,0,T,16922112South-Right2
19,9,2,21,1,2,West-Up2,130.58,0,57,36,4,T,19922112West-Up2
19,9,2,21,1,2,West-Up1,2508.04,0,57,36,4,T,19922112West-Up1
19,9,2,21,1,2,West-Down1,2644.09,1,3,58,4,T,19922112West-Down1
19,9,2,21,1,2,West-Down2,0,0,0,0,0,T,19922112West-Down2
19,9,2,21,1,2,East-Up2,0,0,0,0,0,T,19922112East-Up2
19,9,2,21,1,2,East-Up1,2638.47,0,2,23,4,T,19922112East-Up1
19,9,2,21,1,2,East-Down1,2661.19,0,3,52,4,T,19922112East-Down1
19,9,2,21,1,2,East-Down2,0,0,0,0,0,T,19922112East-Down2
19,9,2,21,1,2,North-Left2,0,0,0,0,0,T,19922112North-Left2
19,9,2,21,1,2,North-Left1,3201.61,89,23,20,3,T,19922112North-Left1
19,9,2,21,1,2,North-Right1,2636.19,89,59,52,3,T,19922112North-Right1
19,9,2,21,1,2,North-Right2,0,0,0,0,0,T,19922112North-Right2
19,9,2,21,1,2,South-Left2,0,0,0,0,0,T,19922112South-Left2
19,9,2,21,1,2,South-Left1,3104.34,89,41,11,3,T,19922112South-Left1
19,9,2,21,1,2,South-Right1,2644.02,89,59,21,4,T,19922112South-Right1
19,9,2,21,1,2,South-Right2,0,0,0,0,0,T,19922112South-Right2
25,3,2,6,2,2,West-Up2,1315.6,0,5,54,4,T,2532622West-Up2
25,3,2,6,2,2,West-Up1,1314.46,0,1,53,2,T,2532622West-Up1
25,3,2,6,2,2,West-Down1,2631.46,0,4,38,2,T,2532622West-Down1
25,3,2,6,2,2,West-Down2,0,0,0,0,0,T,2532622West-Down2
25,3,2,6,2,2,East-Up2,0,0,0,0,0,T,2532622East-Up2
25,3,2,6,2,2,East-Up1,5267.44,0,35,52,4,T,2532622East-Up1
25,3,2,6,2,2,East-Down1,0,0,0,0,0,T,2532622East-Down1
25,3,2,6,2,2,East-Down2,0,0,0,0,0,T,2532622East-Down2
25,3,2,6,2,2,North-Left2,0,0,0,0,0,T,2532622North-Left2
25,3,2,6,2,2,North-Left1,2464.66,89,53,23,2,T,2532622North-Left1
25,3,2,6,2,2,North-Right1,2622.78,89,47,20,2,T,2532622North-Right1
25,3,2,6,2,2,North-Right2,0,0,0,0,0,T,2532622North-Right2
25,3,2,6,2,2,South-Left2,0,0,0,0,0,T,2532622South-Left2
25,3,2,6,2,2,South-Left1,5144.37,89,54,8,2,T,2532622South-Left1
25,3,2,6,2,2,South-Right1,0,0,0,0,0,T,2532622South-Right1
25,3,2,6,2,2,South-Right2,0,0,0,0,0,T,2532622South-Right2
30,3,2,6,2,2,West-Up2,0,0,0,0,0,T,3032622West-Up2
30,3,2,6,2,2,West-Up1,5267.44,0,35,52,4,T,3032622West-Up1
30,3,2,6,2,2,West-Down1,0,0,0,0,0,T,3032622West-Down1
30,3,2,6,2,2,West-Down2,0,0,0,0,0,T,3032622West-Down2
30,3,2,6,2,2,East-Up2,0,0,0,0,0,T,3032622East-Up2
30,3,2,6,2,2,East-Up1,5274.04,0,21,52,4,T,3032622East-Up1
30,3,2,6,2,2,East-Down1,0,0,0,0,0,T,3032622East-Down1
30,3,2,6,2,2,East-Down2,0,0,0,0,0,T,3032622East-Down2
30,3,2,6,2,2,North-Left2,0,0,0,0,0,T,3032622North-Left2
30,3,2,6,2,2,North-Left1,2634.97,89,36,58,2,T,3032622North-Left1
30,3,2,6,2,2,North-Right1,2640.73,89,59,30,1,T,3032622North-Right1
30,3,2,6,2,2,North-Right2,0,0,0,0,0,T,3032622North-Right2
30,3,2,6,2,2,South-Left2,0,0,0,0,0,T,3032622South-Left2
30,3,2,6,2,2,South-Left1,5254.24,89,53,8,2,T,3032622South-Left1
30,3,2,6,2,2,South-Right1,0,0,0,0,0,T,3032622South-Right1
30,3,2,6,2,2,South-Right2,0,0,0,0,0,T,3032622South-Right2
20,2,2,1,1,2,West-Up2,1320.33,0,7,57,4,T,2022112West-Up2
20,2,2,1,1,2,West-Up1,1323.18,0,0,30,4,T,2022112West-Up1
20,2,2,1,1,2,West-Down1,1321.99,0,15,45,4,T,2022112West-Down1
20,2,2,1,1,2,West-Down2,1317.33,0,15,20,4,T,2022112West-Down2
20,2,2,1,1,2,East-Up2,1314.94,0,8,46,2,T,2022112East-Up2
20,2,2,1,1,2,East-Up1,1322.3,0,8,46,2,T,2022112East-Up1
20,2,2,1,1,2,East-Down1,2608.05,0,22,14,2,T,2022112East-Down1
20,2,2,1,1,2,East-Down2,0,0,0,0,0,T,2022112East-Down2
20,2,2,1,1,2,North-Left2,0,0,0,0,0,T,2022112North-Left2
20,2,2,1,1,2,North-Left1,2642.82,89,17,58,4,T,2022112North-Left1
20,2,2,1,1,2,North-Right1,1309.5,89,17,58,4,T,2022112North-Right1
20,2,2,1,1,2,North-Right2,1338.43,89,17,58,4,T,2022112North-Right2
20,2,2,1,1,2,South-Left2,0,0,0,0,0,T,2022112South-Left2
20,2,2,1,1,2,South-Left1,2611.28,89,45,31,4,T,2022112South-Left1
20,2,2,1,1,2,South-Right1,2640.38,89,39,1,4,T,2022112South-Right1
20,2,2,1,1,2,South-Right2,0,0,0,0,0,T,2022112South-Right2
30,2,2,1,1,2,West-Up2,0,0,0,0,0,T,3022112West-Up2
30,2,2,1,1,2,West-Up1,2642.78,0,0,49,4,T,3022112West-Up1
30,2,2,1,1,2,West-Down1,2644.75,0,27,58,4,T,3022112West-Down1
30,2,2,1,1,2,West-Down2,0,0,0,0,0,T,3022112West-Down2
30,2,2,1,1,2,East-Up2,0,0,0,0,0,T,3022112East-Up2
30,2,2,1,1,2,East-Up1,2640.87,0,41,11,2,T,3022112East-Up1
30,2,2,1,1,2,East-Down1,2635.69,0,26,54,4,T,3022112East-Down1
30,2,2,1,1,2,East-Down2,0,0,0,0,0,T,3022112East-Down2
30,2,2,1,1,2,North-Left2,0,0,0,0,0,T,3022112North-Left2
30,2,2,1,1,2,North-Left1,2668.13,89,12,4,4,T,3022112North-Left1
30,2,2,1,1,2,North-Right1,1328.26,89,48,36,4,T,3022112North-Right1
30,2,2,1,1,2,North-Right2,1328.27,89,48,36,4,T,3022112North-Right2
30,2,2,1,1,2,South-Left2,0,0,0,0,0,T,3022112South-Left2
30,2,2,1,1,2,South-Left1,2661.24,89,37,0,1,T,3022112South-Left1
30,2,2,1,1,2,South-Right1,2630.1,89,38,21,1,T,3022112South-Right1
30,2,2,1,1,2,South-Right2,0,0,0,0,0,T,3022112South-Right2
23,4,2,2,1,2,West-Up2,1342.19,1,4,47,4,T,2342212West-Up2
23,4,2,2,1,2,West-Up1,719.79,1,4,47,4,T,2342212West-Up1
23,4,2,2,1,2,West-Down1,2636.47,1,5,1,4,T,2342212West-Down1
23,4,2,2,1,2,West-Down2,0,0,0,0,0,T,2342212West-Down2
23,4,2,2,1,2,East-Up2,1357.56,1,5,26,4,T,2342212East-Up2
23,4,2,2,1,2,East-Up1,1357.5,1,5,18,4,T,2342212East-Up1
23,4,2,2,1,2,East-Down1,1307.34,0,5,38,2,T,2342212East-Down1
23,4,2,2,1,2,East-Down2,763.23,1,46,51,4,T,2342212East-Down2
23,4,2,2,1,2,North-Left2,1204.99,88,12,32,2,T,2342212North-Left2
23,4,2,2,1,2,North-Left1,1318.01,88,9,24,3,T,2342212North-Left1
23,4,2,2,1,2,North-Right1,1318.03,88,9,30,3,T,2342212North-Right1
23,4,2,2,1,2,North-Right2,1386.61,87,30,54,3,T,2342212North-Right2
23,4,2,2,1,2,South-Left2,0,0,0,0,0,T,2342212South-Left2
23,4,2,2,1,2,South-Left1,2655.17,88,57,10,3,T,2342212South-Left1
23,4,2,2,1,2,South-Right1,1327.67,88,56,58,3,T,2342212South-Right1
23,4,2,2,1,2,South-Right2,1226.84,88,56,56,3,T,2342212South-Right2
8,3,2,1,1,2,West-Up2,0,0,0,0,0,T,832112West-Up2
8,3,2,1,1,2,West-Up1,2639.84,0,55,42,4,T,832112West-Up1
8,3,2,1,1,2,West-Down1,2636.29,0,59,43,4,T,832112West-Down1
8,3,2,1,1,2,West-Down2,0,0,0,0,0,T,832112West-Down2
8,3,2,1,1,2,East-Up2,0,0,0,0,0,T,832112East-Up2
8,3,2,1,1,2,East-Up1,2637.35,1,3,24,1,T,832112East-Up1
8,3,2,1,1,2,East-Down1,2642.28,1,3,8,1,T,832112East-Down1
8,3,2,1,1,2,East-Down2,0,0,0,0,0,T,832112East-Down2
8,3,2,1,1,2,North-Left2,0,0,0,0,0,T,832112North-Left2
8,3,2,1,1,2,North-Left1,2629.68,89,8,16,2,T,832112North-Left1
8,3,2,1,1,2,North-Right1,2629.91,89,8,9,2,T,832112North-Right1
8,3,2,1,1,2,North-Right2,0,0,0,0,0,T,832112North-Right2
8,3,2,1,1,2,South-Left2,0,0,0,0,0,T,832112South-Left2
8,3,2,1,1,2,South-Left1,2629.45,89,10,57,2,T,832112South-Left1
8,3,2,1,1,2,South-Right1,2638.69,89,10,0,2,T,832112South-Right1
8,3,2,1,1,2,South-Right2,0,0,0,0,0,T,832112South-Right2
6,3,2,1,1,2,West-Up2,1283.02,0,33,8,2,T,632112West-Up2
6,3,2,1,1,2,West-Up1,1486.04,0,9,47,2,T,632112West-Up1
6,3,2,1,1,2,West-Down1,2474.17,0,9,47,2,T,632112West-Down1
6,3,2,1,1,2,West-Down2,151.84,0,21,16,2,T,632112West-Down2
6,3,2,1,1,2,East-Up2,1423.3,0,4,36,4,T,632112East-Up2
6,3,2,1,1,2,East-Up1,1321.84,0,2,56,4,T,632112East-Up1
6,3,2,1,1,2,East-Down1,2643.2,0,4,12,4,T,632112East-Down1
6,3,2,1,1,2,East-Down2,0,0,0,0,0,T,632112East-Down2
6,3,2,1,1,2,North-Left2,1232.75,89,59,20,2,T,632112North-Left2
6,3,2,1,1,2,North-Left1,1318.17,89,59,20,2,T,632112North-Left1
6,3,2,1,1,2,North-Right1,2636.84,89,58,48,2,T,632112North-Right1
6,3,2,1,1,2,North-Right2,0,0,0,0,0,T,632112North-Right2
6,3,2,1,1,2,South-Left2,0,0,0,0,0,T,632112South-Left2
6,3,2,1,1,2,South-Left1,2574.58,89,54,45,3,T,632112South-Left1
6,3,2,1,1,2,South-Right1,2644.02,89,54,45,3,T,632112South-Right1
6,3,2,1,1,2,South-Right2,0,0,0,0,0,T,632112South-Right2
16,3,2,1,1,2,West-Up2,0,0,0,0,0,T,1632112West-Up2
16,3,2,1,1,2,West-Up1,2638.14,0,1,41,4,T,1632112West-Up1
16,3,2,1,1,2,West-Down1,2643.21,0,1,28,4,T,1632112West-Down1
16,3,2,1,1,2,West-Down2,0,0,0,0,0,T,1632112West-Down2
16,3,2,1,1,2,East-Up2,0,0,0,0,0,T,1632112East-Up2
16,3,2,1,1,2,East-Up1,2639.4,0,28,13,2,T,1632112East-Up1
16,3,2,1,1,2,East-Down1,2648.37,0,29,13,2,T,1632112East-Down1
16,3,2,1,1,2,East-Down2,0,0,0,0,0,T,1632112East-Down2
16,3,2,1,1,2,North-Left2,0,0,0,0,0,T,1632112North-Left2
16,3,2,1,1,2,North-Left1,2639.04,89,55,24,2,T,1632112North-Left1
16,3,2,1,1,2,North-Right1,2724.71,89,55,13,2,T,1632112North-Right1
16,3,2,1,1,2,North-Right2,0,0,0,0,0,T,1632112North-Right2
16,3,2,1,1,2,South-Left2,0,0,0,0,0,T,1632112South-Left2
16,3,2,1,1,2,South-Left1,2643.7,89,59,18,2,T,1632112South-Left1
16,3,2,1,1,2,South-Right1,2673.45,89,59,18,2,T,1632112South-Right1
16,3,2,1,1,2,South-Right2,0,0,0,0,0,T,1632112South-Right2
9,3,2,1,1,2,West-Up2,0,0,0,0,0,T,932112West-Up2
9,3,2,1,1,2,West-Up1,2724.35,0,19,46,4,T,932112West-Up1
9,3,2,1,1,2,West-Down1,2650.46,0,30,24,2,T,932112West-Down1
9,3,2,1,1,2,West-Down2,0,0,0,0,0,T,932112West-Down2
9,3,2,1,1,2,East-Up2,0,0,0,0,0,T,932112East-Up2
9,3,2,1,1,2,East-Up1,5340.92,0,31,3,2,T,932112East-Up1
9,3,2,1,1,2,East-Down1,0,0,0,0,0,T,932112East-Down1
9,3,2,1,1,2,East-Down2,0,0,0,0,0,T,932112East-Down2
9,3,2,1,1,2,North-Left2,97.66,89,37,47,1,T,932112North-Left2
9,3,2,1,1,2,North-Left1,2639.4,89,48,45,1,T,932112North-Left1
9,3,2,1,1,2,North-Right1,2667.23,89,36,29,1,T,932112North-Right1
9,3,2,1,1,2,North-Right2,0,0,0,0,0,T,932112North-Right2
9,3,2,1,1,2,South-Left2,0,0,0,0,0,T,932112South-Left2
9,3,2,1,1,2,South-Left1,2639.04,89,55,24,2,T,932112South-Left1
9,3,2,1,1,2,South-Right1,2724.71,89,55,13,2,T,932112South-Right1
9,3,2,1,1,2,South-Right2,0,0,0,0,0,T,932112South-Right2
10,3,2,1,1,2,West-Up2,1326.46,0,34,23,2,T,1032112West-Up2
10,3,2,1,1,2,West-Up1,1326.37,0,30,55,2,T,1032112West-Up1
10,3,2,1,1,2,West-Down1,1332.34,1,15,55,2,T,1032112West-Down1
10,3,2,1,1,2,West-Down2,1333.18,0,20,45,4,T,1032112West-Down2
10,3,2,1,1,2,East-Up2,0,0,0,0,0,T,1032112East-Up2
10,3,2,1,1,2,East-Up1,2656.61,0,28,19,2,T,1032112East-Up1
10,3,2,1,1,2,East-Down1,2656.21,1,2,25,2,T,1032112East-Down1
10,3,2,1,1,2,East-Down2,0,0,0,0,0,T,1032112East-Down2
10,3,2,1,1,2,North-Left2,0,0,0,0,0,T,1032112North-Left2
10,3,2,1,1,2,North-Left1,2635.6,89,40,23,1,T,1032112North-Left1
10,3,2,1,1,2,North-Right1,2681.21,89,58,39,2,T,1032112North-Right1
10,3,2,1,1,2,North-Right2,0,0,0,0,0,T,1032112North-Right2
10,3,2,1,1,2,South-Left2,1323,89,47,38,2,T,1032112South-Left2
10,3,2,1,1,2,South-Left1,1315.46,89,35,33,1,T,1032112South-Left1
10,3,2,1,1,2,South-Right1,1326.71,89,5,28,1,T,1032112South-Right1
10,3,2,1,1,2,South-Right2,1327.61,89,17,10,2,T,1032112South-Right2
21,3,2,1,2,2,West-Up2,1320.43,0,9,1,4,T,2132122West-Up2
21,3,2,1,2,2,West-Up1,1320.43,0,9,1,4,T,2132122West-Up1
21,3,2,1,2,2,West-Down1,1313.37,0,9,13,4,T,2132122West-Down1
21,3,2,1,2,2,West-Down2,1321.48,0,0,13,4,T,2132122West-Down2
21,3,2,1,2,2,East-Up2,0,0,0,0,0,T,2132122East-Up2
21,3,2,1,2,2,East-Up1,2637.78,0,14,57,2,T,2132122East-Up1
21,3,2,1,2,2,East-Down1,2672.07,0,14,57,2,T,2132122East-Down1
21,3,2,1,2,2,East-Down2,0,0,0,0,0,T,2132122East-Down2
21,3,2,1,2,2,North-Left2,1325.58,89,53,20,3,T,2132122North-Left2
21,3,2,1,2,2,North-Left1,1318.12,89,56,56,3,T,2132122North-Left1
21,3,2,1,2,2,North-Right1,2641.17,89,55,18,1,T,2132122North-Right1
21,3,2,1,2,2,North-Right2,0,0,0,0,0,T,2132122North-Right2
21,3,2,1,2,2,South-Left2,0,0,0,0,0,T,2132122South-Left2
21,3,2,1,2,2,South-Left1,2608.11,89,40,35,1,T,2132122South-Left1
21,3,2,1,2,2,South-Right1,2643.25,89,34,58,1,T,2132122South-Right1
21,3,2,1,2,2,South-Right2,0,0,0,0,0,T,2132122South-Right2
32,3,2,1,1,2,West-Up2,1322.2,0,57,38,1,T,3232112West-Up2
32,3,2,1,1,2,West-Up1,1322.2,0,57,38,1,T,3232112West-Up1
32,3,2,1,1,2,West-Down1,1334.05,0,57,38,1,T,3232112West-Down1
32,3,2,1,1,2,West-Down2,1334.05,0,57,38,1,T,3232112West-Down2
32,3,2,1,1,2,East-Up2,0,0,0,0,0,T,3232112East-Up2
32,3,2,1,1,2,East-Up1,2643.2,1,1,55,1,T,3232112East-Up1
32,3,2,1,1,2,East-Down1,2640.79,0,58,46,1,T,3232112East-Down1
32,3,2,1,1,2,East-Down2,0,0,0,0,0,T,3232112East-Down2
32,3,2,1,1,2,North-Left2,1331.9,89,3,34,2,T,3232112North-Left2
32,3,2,1,1,2,North-Left1,1307.97,89,3,34,2,T,3232112North-Left1
32,3,2,1,1,2,North-Right1,1307.96,89,3,34,2,T,3232112North-Right1
32,3,2,1,1,2,North-Right2,1307.96,89,3,34,2,T,3232112North-Right2
32,3,2,1,1,2,South-Left2,1314.94,88,41,27,2,T,3232112South-Left2
32,3,2,1,1,2,South-Left1,1374.89,88,41,27,2,T,3232112South-Left1
32,3,2,1,1,2,South-Right1,2569.87,88,48,21,2,T,3232112South-Right1
32,3,2,1,1,2,South-Right2,0,0,0,0,0,T,3232112South-Right2
29,3,2,1,1,2,West-Up2,0,0,0,0,0,T,2932112West-Up2
29,3,2,1,1,2,West-Up1,5258.11,0,50,14,4,T,2932112West-Up1
29,3,2,1,1,2,West-Down1,0,0,0,0,0,T,2932112West-Down1
29,3,2,1,1,2,West-Down2,0,0,0,0,0,T,2932112West-Down2
29,3,2,1,1,2,East-Up2,0,0,0,0,0,T,2932112East-Up2
29,3,2,1,1,2,East-Up1,5273.87,1,7,31,1,T,2932112East-Up1
