DateRun,ReportPeriod,POW,PGW,CBPGW,SOW,SGW,CBSGW,AWI,AGI,AWD,AGS,AWS,ATW,IWI,IGI,IWD,IGS,IWS,ITW,TA,PA,LA,NEWOW,NEWGW,NEWGWCB,NEWWI,NEWGI,NEWWD,NEWGS,NEWWS,NEWTW,NEWUNK,APDOW,APDGW,APDGWCB,APDWI,APDGI,APDWD,APDGS,APDWS,APDTW,APDUNK,SPUDOW,SPUDGW,SPUDGWCB,SPUDWI,SPUDGI,SPUDWD,SPUDGS,SPUDWS,SPUDTW,SPUDUNK,OPS,TOTDRILLED,TOTNONPA,TOTCAPPROD,TOTNOTCOMP,FEDPROD,FEDSI,INDPROD,INDSI,STPROD,STSI,FEEPROD,FEESI,MULTPROD,MULTISI
11/03/11,ReportPeriod,3715,6347,829,647,843,41,1333,1,101,63,8,5,28,3,11,0,1,6,170,7158,4961,199,119,3,1,0,1,1,0,0,0,791,1908,35,2,0,3,0,0,1,0,236,295,7,0,0,4,0,0,2,0,119,20440,13282,11552,656,5852,905,1584,209,1883,188,743,188,0,0
10/27/11,ReportPeriod,3699,6366,840,655,822,30,1331,1,101,63,8,5,28,3,11,0,1,6,171,7157,4953,195,170,3,1,0,1,1,0,0,0,796,1868,36,2,0,3,0,0,1,0,235,277,7,0,0,4,0,0,2,0,118,20428,13271,11542,636,5861,893,1579,209,1885,185,740,190,0,0
10/06/11,ReportPeriod,3692,6337,843,650,834,27,1326,1,101,63,8,5,28,3,11,0,1,6,174,7158,4949,169,165,4,1,0,1,1,0,0,0,785,1856,35,2,0,3,0,0,1,0,229,257,7,0,0,4,0,0,2,0,119,20398,13240,11513,611,5856,894,1571,209,1863,195,739,186,0,0
09/29/11,ReportPeriod,3690,6321,844,649,839,26,1325,1,102,63,8,5,28,3,11,0,1,6,174,7154,4946,155,162,4,1,0,1,1,0,0,0,791,1865,35,2,0,4,0,0,1,0,219,261,7,0,0,4,0,0,2,0,120,20380,13226,11499,606,5850,893,1567,209,1855,199,739,187,0,0
09/22/11,ReportPeriod,3684,6340,844,658,823,26,1319,1,102,63,8,5,28,3,11,0,1,6,172,7153,4932,150,166,5,1,0,1,1,0,0,0,793,1865,40,2,0,4,0,0,1,0,211,Missing,6,0,0,4,0,0,2,0,121,20377,13224,11505,596,5859,890,1567,208,1860,195,738,188,0,0
09/15/11,ReportPeriod,3677,6328,845,657,831,25,1317,1,102,63,8,5,28,3,11,0,1,6,168,7149,4929,127,173,5,1,0,1,1,0,0,0,787,1863,40,2,0,5,0,0,1,0,212,257,6,0,0,4,0,0,2,0,121,20355,13206,11493,596,5848,896,1571,203,1855,194,731,195,0,0
09/08/11,ReportPeriod,3673,6296,846,651,847,24,1316,1,102,63,8,5,28,3,11,0,1,6,172,7146,4929,134,121,5,1,0,1,1,0,0,0,781,1858,40,2,0,5,0,0,1,0,213,269,6,0,0,4,0,0,2,0,121,20329,13183,11467,609,5824,904,1570,199,1846,198,729,197,0,0
09/01/11,ReportPeriod,3670,6289,846,655,853,24,1316,1,102,63,8,5,28,3,11,0,1,6,172,7146,4922,108,121,7,1,0,1,1,0,0,0,783,1869,40,2,0,5,0,0,1,0,211,266,6,0,0,4,0,0,2,0,121,20329,13183,11467,604,5815,913,1570,199,1845,199,729,197,0,0
08/25/11,ReportPeriod,3684,6239,845,629,872,25,1314,1,102,63,8,5,28,3,11,0,1,6,176,7137,4920,121,136,7,1,0,1,1,0,0,0,758,1861,40,2,0,5,0,0,1,0,210,292,6,0,0,4,0,0,2,0,123,20279,13142,11424,631,5802,913,1572,194,1815,202,734,192,0,0
08/11/11,ReportPeriod,3661,6222,845,630,877,25,1313,2,102,63,8,5,28,3,11,0,1,6,175,7129,4909,109,109,8,1,0,1,1,0,0,0,766,1845,39,2,0,5,0,0,1,0,205,293,6,0,0,4,0,0,2,0,124,20236,13107,11390,628,5789,915,1560,193,1800,207,734,192,0,0
08/04/11,ReportPeriod,3643,6206,845,640,896,25,1312,2,102,63,8,5,28,3,11,0,1,6,176,7124,4882,129,111,8,1,0,1,1,0,0,0,750,1853,39,2,0,5,0,0,1,0,200,276,6,0,0,4,0,0,2,0,124,20226,13102,11385,606,5771,934,1555,194,1790,215,733,193,0,0
07/28/11,ReportPeriod,3637,6157,834,640,938,36,1312,2,102,63,8,5,29,3,10,0,1,6,177,7124,4867,122,99,8,1,0,1,1,0,0,0,739,1850,39,2,0,5,0,0,1,0,205,277,6,0,0,4,0,0,2,0,123,20214,13090,11372,611,5720,973,1561,185,1782,226,731,194,0,0
07/21/11,ReportPeriod,3635,6151,834,640,943,36,1312,2,102,63,8,5,29,3,10,0,1,6,178,7123,4867,117,124,8,1,0,1,1,0,1,0,741,1840,39,2,0,5,0,0,0,0,194,263,6,0,0,4,0,0,2,0,123,20211,13088,11369,586,5715,977,1563,181,1782,225,726,200,0,0
07/14/11,ReportPeriod,3632,6157,835,622,916,35,1310,2,102,63,8,5,29,3,10,0,1,6,179,7123,4852,111,119,8,1,0,1,1,0,1,0,748,1860,39,2,0,5,0,0,0,0,211,275,6,0,0,4,0,0,2,0,123,20168,13045,11327,615,5741,946,1557,175,1769,217,722,200,0,0
07/11/11,ReportPeriod,3593,6124,835,663,955,35,1309,2,102,63,8,5,29,3,10,0,1,6,174,7122,4836,112,113,8,1,0,1,1,0,1,0,742,1881,39,2,0,5,0,0,0,0,207,259,6,0,0,4,0,0,2,0,123,20169,13047,11335,595,5679,1015,1557,176,1759,227,722,200,0,0
07/07/11,ReportPeriod,3593,6129,835,660,954,35,1306,2,102,63,8,5,29,3,10,0,1,6,176,7117,4835,104,131,8,1,0,1,1,0,0,0,737,1857,39,2,0,5,0,0,0,0,197,258,6,0,0,4,0,0,2,0,123,20164,13047,11336,584,5682,1014,1557,176,1760,226,723,198,0,0
06/23/11,ReportPeriod,3596,6097,833,657,982,33,1304,2,100,63,8,5,29,3,10,0,1,6,176,7121,4814,134,122,8,1,0,2,1,0,0,0,728,1871,39,2,0,5,0,0,0,0,176,250,10,0,0,3,0,0,2,0,124,20160,13039,11332,555,5666,1028,1547,186,1757,228,723,197,0,0
06/16/11,ReportPeriod,3578,6077,834,656,1001,32,1304,2,100,63,8,5,29,3,10,0,1,6,176,7118,4813,152,80,8,1,0,2,1,0,0,0,709,1868,39,2,0,6,0,0,0,0,180,248,11,0,0,2,0,0,2,0,125,20137,13019,11312,557,5643,1047,1545,177,1750,234,717,199,0,0
06/09/11,ReportPeriod,3566,6060,834,662,1010,32,1304,2,100,63,8,5,29,3,10,0,1,6,179,7118,4811,134,66,8,1,0,2,1,0,0,0,709,1870,39,2,0,7,0,0,0,0,175,253,11,0,0,1,0,0,2,0,Missing,20126,13008,11298,556,5640,1046,1536,182,1737,242,713,202,0,0
06/02/11,ReportPeriod,3533,6074,834,693,993,33,1305,2,100,63,8,5,28,3,10,0,1,6,185,7117,4811,110,62,8,1,0,3,1,0,0,0,692,1879,39,2,0,6,0,0,0,0,170,244,11,0,0,1,0,0,2,0,125,20126,13009,11293,542,5630,1053,1535,183,1736,241,706,209,0,0
05/26/11,ReportPeriod,3525,6066,838,696,995,29,1304,2,100,63,8,5,28,3,10,0,1,6,184,7117,4803,106,82,8,1,0,3,1,0,0,0,683,1868,39,2,0,6,0,0,0,0,170,241,11,0,0,1,0,0,2,0,125,20113,12996,11282,539,5624,1052,1530,184,1736,241,701,214,0,0
05/19/11,ReportPeriod,3526,6061,843,693,979,24,1303,2,100,63,8,5,28,3,10,0,1,6,184,7117,4802,101,93,7,1,0,2,1,0,0,0,688,1876,39,2,0,6,0,0,0,0,163,243,11,0,0,1,0,0,2,0,125,20089,12972,11259,534,5638,1033,1529,185,1723,239,697,215,0,0
05/12/11,ReportPeriod,3533,6069,844,683,976,23,1302,2,100,63,8,5,28,3,10,0,1,6,183,7111,4790,133,66,7,3,0,2,1,0,0,0,653,1865,39,0,0,5,0,0,0,0,153,228,11,0,0,2,0,0,2,0,126,20083,12972,11261,511,5646,1024,1530,184,1731,233,695,218,0,0
05/09/11,ReportPeriod,3526,6053,840,681,983,27,1304,2,98,63,8,5,28,3,10,0,1,6,182,7110,4790,133,59,7,3,0,1,1,0,0,0,659,1866,39,0,0,5,0,0,0,0,152,238,11,0,0,2,0,0,2,0,127,20063,12953,11243,521,5630,1032,1525,186,1726,231,698,215,0,0
05/05/11,ReportPeriod,3526,6050,839,681,988,28,1305,2,97,63,8,5,28,3,10,0,1,6,180,7110,4790,125,52,7,3,0,1,1,0,0,0,659,1872,39,1,0,5,0,0,2,0,145,232,11,0,0,1,0,0,0,0,127,20063,12953,11245,505,5629,1034,1525,186,1725,233,697,216,0,0
04/28/11,ReportPeriod,3518,5965,839,685,1060,28,1305,2,97,63,8,5,28,3,10,0,1,6,185,7108,4790,85,50,7,1,0,1,1,0,0,0,639,1872,39,2,0,5,0,0,0,0,144,239,11,0,0,1,0,0,0,0,127,20049,12941,11228,511,5569,1089,1520,187,1698,252,696,217,0,0
04/21/11,ReportPeriod,3554,5976,839,645,1034,28,1305,2,96,63,8,5,28,3,10,0,1,6,187,7107,4787,90,46,7,1,0,1,1,0,0,0,636,1881,39,1,0,5,0,0,0,0,142,245,11,0,0,1,0,0,0,0,127,20030,12923,11209,515,5611,1036,1520,186,1702,242,697,215,0,0
04/14/11,ReportPeriod,3512,6002,848,680,1009,19,1305,2,95,63,8,5,28,3,10,0,1,6,186,7105,4781,104,54,7,2,0,2,1,0,0,0,611,1887,39,0,0,4,0,0,0,0,142,237,11,0,0,1,0,0,0,0,128,20020,12915,11203,508,5593,1052,1519,183,1704,241,698,213,0,0
